question,references,corpus_id
How does the __repr__ method format the string representation of an instance that includes time duration components?,"[{""content"": ""def __repr__(self) -> str:\n        rep = f\""{self.__class__.__name__}(\""\n\n        if self._years:\n            rep += f\""years={self._years}, \""\n\n        if self._months:\n            rep += f\""months={self._months}, \""\n\n        if self._weeks:\n            rep += f\""weeks={self._weeks}, \""\n\n        if self._days:\n            rep += f\""days={self._remaining_days}, \""\n\n        if self.hours:\n            rep += f\""hours={self.hours}, \""\n\n        if self.minutes:\n            rep += f\""minutes={self.minutes}, \""\n\n        if self.remaining_seconds:\n            rep += f\""seconds={self.remaining_seconds}, \""\n\n        if self.microseconds:\n            rep += f\""microseconds={self.microseconds}, \""\n\n        rep += \"")\""\n\n        return rep.replace(\"", )\"", \"")\"")"", ""start_index"": 361165, ""end_index"": 361902}]",pendulum
How does the Choice class format the metavariables for required arguments compared to optional arguments or options?,"[{""content"": ""def get_metavar(self, param: Parameter, ctx: Context) -> str | None:\n        if param.param_type_name == \""option\"" and not param.show_choices:  # type: ignore\n            choice_metavars = [\n                convert_type(type(choice)).name.upper() for choice in self.choices\n            ]\n            choices_str = \""|\"".join([*dict.fromkeys(choice_metavars)])\n        else:\n            choices_str = \""|\"".join(\n                [str(i) for i in self._normalized_mapping(ctx=ctx).values()]\n            )\n\n        # Use curly braces to indicate a required argument.\n        if param.required and param.param_type_name == \""argument\"":\n            return f\""{{{choices_str}}}\""\n\n        # Use square braces to indicate an option or optional argument.\n        return f\""[{choices_str}]\"""", ""start_index"": 381899, ""end_index"": 382671}]",click
How does the function handle a time string with a specified timestamp during parsing?,"[{""content"": ""if parsed[\""timestamp\""] is not None:\n            str_us = str(parsed[\""timestamp\""])\n            if \"".\"" in str_us:\n                microseconds = int(f\""{str_us.split('.')[1].ljust(6, '0')}\"")\n            else:\n                microseconds = 0\n\n            from pendulum.helpers import local_time\n\n            time = local_time(parsed[\""timestamp\""], 0, microseconds)\n            validated[\""year\""] = time[0]\n            validated[\""month\""] = time[1]\n            validated[\""day\""] = time[2]\n            validated[\""hour\""] = time[3]\n            validated[\""minute\""] = time[4]\n            validated[\""second\""] = time[5]\n            validated[\""microsecond\""] = time[6]\n\n            return validated"", ""start_index"": 670093, ""end_index"": 670774}]",pendulum
What happens to the hash value of an object after it undergoes serialization and deserialization in the test_cache_hash_serialization_hash_cleared?,"[{""content"": ""def test_cache_hash_serialization_hash_cleared(self, klass, cached):\n        \""\""\""\n        Tests that the hash cache is cleared on deserialization to fix\n        https://github.com/python-attrs/attrs/issues/482 .\n\n        This test is intended to guard against a stale hash code surviving\n        across serialization (which may cause problems when the hash value\n        is different in different interpreters).\n        \""\""\""\n\n        obj = klass(IncrementingHasher())\n        original_hash = hash(obj)\n        obj_rt = self._roundtrip_pickle(obj)\n\n        if cached:\n            assert original_hash == hash(obj)\n\n        assert original_hash != hash(obj_rt)"", ""start_index"": 265920, ""end_index"": 266576}]",attrs
"How does the function `total_seconds` calculate the total number of seconds in the presence of years, months, weeks, days, seconds, and microseconds, considering the presence of the PYPY condition?","[{""content"": ""if PYPY:\n\n        def total_seconds(self) -> float:\n            days = 0\n\n            if hasattr(self, \""_years\""):\n                days += self._years * 365\n\n            if hasattr(self, \""_months\""):\n                days += self._months * 30\n\n            if hasattr(self, \""_remaining_days\""):\n                days += self._weeks * 7 + self._remaining_days\n            else:\n                days += self._days\n\n            return (\n                (days * SECONDS_PER_DAY + self._seconds) * US_PER_SECOND\n                + self._microseconds\n            ) / US_PER_SECOND"", ""start_index"": 356815, ""end_index"": 357382}]",pendulum
How is the date reset to the start or end of a specific time period in the methods _start_of_decade and _end_of_decade?,"[{""content"": ""def _start_of_decade(self) -> Self:\n        \""\""\""\n        Reset the date to the first day of the decade\n        and the time to 00:00:00.\n        \""\""\""\n        year = self.year - self.year % YEARS_PER_DECADE\n        return self.set(year, 1, 1, 0, 0, 0, 0)"", ""start_index"": 406247, ""end_index"": 406498}, {""content"": ""def _end_of_decade(self) -> Self:\n        \""\""\""\n        Reset the date to the last day of the decade\n        and the time to 23:59:59.999999.\n        \""\""\""\n        year = self.year - self.year % YEARS_PER_DECADE + YEARS_PER_DECADE - 1\n\n        return self.set(year, 12, 31, 23, 59, 59, 999999)"", ""start_index"": 406504, ""end_index"": 406793}]",pendulum
What is the behavior of the `test_no_order` test method in relation to element comparison in the `TestNextGen` class?,"[{""content"": ""def test_no_order(self):\n        \""\""\""\n        Order is off by default but can be added.\n        \""\""\""\n        with pytest.raises(TypeError):\n            C(\""1\"", 2) < C(\""2\"", 3)\n\n        @attrs.define(order=True)\n        class Ordered:\n            x: int\n\n        assert Ordered(1) < Ordered(2)"", ""start_index"": 283075, ""end_index"": 283363}]",attrs
"What is the result of multiplying a pendulum duration of 6 days, 34 seconds, and 522222 microseconds by 2?","[{""content"": ""def test_multiply():\n    it = pendulum.duration(days=6, seconds=34, microseconds=522222)\n    mul = it * 2\n\n    assert isinstance(mul, pendulum.Duration)\n    assert_duration(mul, 0, 0, 1, 5, 0, 1, 9, 44444)"", ""start_index"": 249355, ""end_index"": 249560}]",pendulum
How does the Context utility handle the modification of serialization and deserialization values in marshmallow?,"[{""content"": ""class TestContext:\n    def test_context_load_dump(self):\n        class ContextField(fields.Integer):\n            def _serialize(self, value, attr, obj, **kwargs):\n                if (context := Context[dict].get(None)) is not None:\n                    value *= context.get(\""factor\"", 1)\n                return super()._serialize(value, attr, obj, **kwargs)\n\n            def _deserialize(self, value, attr, data, **kwargs):\n                val = super()._deserialize(value, attr, data, **kwargs)\n                if (context := Context[dict].get(None)) is not None:\n                    val *= context.get(\""factor\"", 1)\n                return val\n\n        class ContextSchema(Schema):\n            ctx_fld = ContextField()\n\n        ctx_schema = ContextSchema()\n\n        assert ctx_schema.load({\""ctx_fld\"": 1}) == {\""ctx_fld\"": 1}\n        assert ctx_schema.dump({\""ctx_fld\"": 1}) == {\""ctx_fld\"": 1}\n        with Context({\""factor\"": 2}):\n            assert ctx_schema.load({\""ctx_fld\"": 1}) == {\""ctx_fld\"": 2}\n            assert ctx_schema.dump({\""ctx_fld\"": 1}) == {\""ctx_fld\"": 2}\n"", ""start_index"": 242148, ""end_index"": 243209}]",marshmallow
What are the conditions under which an instance of `Field` or a subclass thereof is resolved in marshmallow?,"[{""content"": ""def _resolve_field_instance(cls_or_instance: Field | type[Field]) -> Field:\n    \""\""\""Return a Field instance from a Field class or instance.\n\n    :param cls_or_instance: Field class or instance.\n    \""\""\""\n    if isinstance(cls_or_instance, type):\n        if not issubclass(cls_or_instance, Field):\n            raise _FieldInstanceResolutionError\n        return cls_or_instance()\n    if not isinstance(cls_or_instance, Field):\n        raise _FieldInstanceResolutionError\n    return cls_or_instance"", ""start_index"": 350581, ""end_index"": 351073}]",marshmallow
What field attributes are set for the 'homepage' in the UserSchema using the marshmallow library?,"[{""content"": ""class UserSchema(Schema):\n    name = fields.String(allow_none=True)\n    email = fields.Email(allow_none=True)\n    age = fields.Integer()\n    created = fields.DateTime()\n    id = fields.Integer(allow_none=True)\n    homepage = fields.Url()\n    birthdate = fields.Date()"", ""start_index"": 134777, ""end_index"": 135044}]",marshmallow
What checks are performed when using the check_warnings function to validate warnings in a test?,"[{""content"": ""def check_warnings(func_args_kwargs, *, num=None, category=None, contain=None):\n    func, args, kwargs = func_args_kwargs\n    with warnings.catch_warnings(record=True) as W:\n        # Causes all warnings to always be triggered inside here.\n        warnings.simplefilter(\""always\"")\n        func(*args, **kwargs)\n        # Checks\n        if num is not None:\n            assert len(W) == num\n        if category is not None:\n            assert all([issubclass(w.category, category) for w in W])\n        if contain is not None:\n            assert all([contain in str(w.message) for w in W])"", ""start_index"": 134914, ""end_index"": 135499}]",tabulate
What is the expected formatting result when aligning single cell text vertically in the center of a cell with three padding lines?,"[{""content"": ""def test_align_cell_veritically_center_single_text_multiple_pad():\n    \""Internal: Align single cell text to center\""\n    result = T._align_cell_veritically([\""one line\""], 3, 8, \""center\"")\n\n    expected = [\""        \"", \""one line\"", \""        \""]\n\n    assert_equal(expected, result)"", ""start_index"": 21951, ""end_index"": 22224}]",tabulate
How does the `test_init_with_missing_values` function verify default values for missing time components using the `pendulum.time` method?,"[{""content"": ""def test_init_with_missing_values():\n    t = pendulum.time(12, 34, 56)\n    assert_time(t, 12, 34, 56, 0)\n\n    t = pendulum.time(12, 34)\n    assert_time(t, 12, 34, 0, 0)\n\n    t = pendulum.time(12)\n    assert_time(t, 12, 0, 0, 0)"", ""start_index"": 180851, ""end_index"": 181078}]",pendulum
What default values are used for the time components when parsing only a year using the `parse` function?,"[{""content"": ""def test_y():\n    text = \""2016\""\n\n    parsed = parse(text)\n\n    assert parsed.year == 2016\n    assert parsed.month == 1\n    assert parsed.day == 1\n    assert parsed.hour == 0\n    assert parsed.minute == 0\n    assert parsed.second == 0\n    assert parsed.microsecond == 0\n    assert parsed.tzinfo is None"", ""start_index"": 213445, ""end_index"": 213746}]",pendulum
What is the purpose of the `_resolve_field_instance` method in the marshmallow library?,"[{""content"": ""def _resolve_field_instance(cls_or_instance: Field | type[Field]) -> Field:\n    \""\""\""Return a Field instance from a Field class or instance.\n\n    :param cls_or_instance: Field class or instance.\n    \""\""\""\n    if isinstance(cls_or_instance, type):\n        if not issubclass(cls_or_instance, Field):\n            raise _FieldInstanceResolutionError\n        return cls_or_instance()\n    if not isinstance(cls_or_instance, Field):\n        raise _FieldInstanceResolutionError\n    return cls_or_instance"", ""start_index"": 350581, ""end_index"": 351073}]",marshmallow
What types of objects can be passed as the 'message' parameter to `marshmallow.ValidationError`?,"[{""content"": ""ma.ValidationError(\""foo\"")"", ""start_index"": 334797, ""end_index"": 334822}, {""content"": ""ma.ValidationError([\""foo\""])"", ""start_index"": 334823, ""end_index"": 334850}, {""content"": ""ma.ValidationError({\""foo\"": \""bar\""})"", ""start_index"": 334851, ""end_index"": 334885}]",marshmallow
What configuration in `docs/conf.py` specifies to strip the dollar prompt when copying code using the Sphinx copybutton?,"[{""content"": ""copybutton_prompt_text = \""$ \"""", ""start_index"": 337226, ""end_index"": 337255}]",marshmallow
What types of data types are checked for each format in the `test_tabulate_formats` function?,"[{""content"": ""def test_tabulate_formats():\n    \""API: tabulate_formats is a list of strings\"" \""\""\n    supported = tabulate_formats\n    print(\""tabulate_formats = %r\"" % supported)\n    assert type(supported) is list\n    for fmt in supported:\n        assert type(fmt) is str  # noqa"", ""start_index"": 135734, ""end_index"": 135995}]",tabulate
What validation checks are performed when creating a new Interval instance in the Pendulum library?,"[{""content"": ""class Interval(Duration, Generic[_T]):\n    \""\""\""\n    An interval of time between two datetimes.\n    \""\""\""\n\n    def __new__(cls, start: _T, end: _T, absolute: bool = False) -> Self:\n        if (isinstance(start, datetime) and not isinstance(end, datetime)) or (\n            not isinstance(start, datetime) and isinstance(end, datetime)\n        ):\n            raise ValueError(\n                \""Both start and end of an Interval must have the same type\""\n            )\n\n        if (\n            isinstance(start, datetime)\n            and isinstance(end, datetime)\n            and (\n                (start.tzinfo is None and end.tzinfo is not None)\n                or (start.tzinfo is not None and end.tzinfo is None)\n            )\n        ):\n            raise TypeError(\""can't compare offset-naive and offset-aware datetimes\"")\n\n        if absolute and start > end:\n            end, start = start, end"", ""start_index"": 338638, ""end_index"": 339532}]",pendulum
What are the detailed assertions tested by the `test_parse_now` function in the Pendulum library when parsing the 'now' keyword?,"[{""content"": ""def test_parse_now() -> None:\n    assert pendulum.parse(\""now\"").timezone_name == \""UTC\""\n    assert (\n        pendulum.parse(\""now\"", tz=\""America/Los_Angeles\"").timezone_name\n        == \""America/Los_Angeles\""\n    )\n\n    dt = pendulum.parse(\""now\"", tz=\""local\"")\n    assert dt.timezone_name == \""America/Toronto\""\n\n    mock_now = pendulum.yesterday()\n\n    with pendulum.travel_to(mock_now, freeze=True):\n        assert pendulum.parse(\""now\"") == mock_now"", ""start_index"": 3406, ""end_index"": 3845}]",pendulum
What are the values set by the `test_init_with_missing_values` function for missing time components using the `pendulum.time` method?,"[{""content"": ""def test_init_with_missing_values():\n    t = pendulum.time(12, 34, 56)\n    assert_time(t, 12, 34, 56, 0)\n\n    t = pendulum.time(12, 34)\n    assert_time(t, 12, 34, 0, 0)\n\n    t = pendulum.time(12)\n    assert_time(t, 12, 0, 0, 0)"", ""start_index"": 180851, ""end_index"": 181078}]",pendulum
How does the Flask application route and handle requests for individual quotes by their unique identifier?,"[{""content"": ""from flask import Flask, request"", ""start_index"": 340392, ""end_index"": 340424}, {""content"": ""app = Flask(__name__)"", ""start_index"": 340654, ""end_index"": 340675}, {""content"": ""@app.route(\""/quotes/<int:pk>\"")\ndef get_quote(pk):\n    try:\n        quote = Quote.query.filter(Quote.id == pk).one()\n    except NoResultFound:\n        return {\""message\"": \""Quote could not be found.\""}, 400\n    result = quote_schema.dump(quote)\n    return {\""quote\"": result}"", ""start_index"": 343412, ""end_index"": 343681}]",marshmallow
How does the 'ContextField' class modify the serialization and deserialization processes in marshmallow based on a context?,"[{""content"": ""class ContextField(fields.Integer):\n            def _serialize(self, value, attr, obj, **kwargs):\n                if (context := Context[dict].get(None)) is not None:\n                    value *= context.get(\""factor\"", 1)\n                return super()._serialize(value, attr, obj, **kwargs)\n\n            def _deserialize(self, value, attr, data, **kwargs):\n                val = super()._deserialize(value, attr, data, **kwargs)\n                if (context := Context[dict].get(None)) is not None:\n                    val *= context.get(\""factor\"", 1)\n                return val"", ""start_index"": 242213, ""end_index"": 242789}]",marshmallow
How does the `OrderedSet` class ensure uniqueness while maintaining order when adding new elements?,"[{""content"": ""class OrderedSet(MutableSet):\n    def __init__(self, iterable=None):\n        self.end = end = []\n        end += [None, end, end]  # sentinel node for doubly linked list\n        self.map = {}  # key --> [key, prev, next]\n        if iterable is not None:\n            self |= iterable"", ""start_index"": 424116, ""end_index"": 424397}, {""content"": ""def add(self, key):\n        if key not in self.map:\n            end = self.end\n            curr = end[1]\n            curr[2] = end[1] = self.map[key] = [key, curr, end]"", ""start_index"": 424521, ""end_index"": 424689}]",marshmallow
How does the benchmark script modify the method list based on command-line arguments to restrict benchmarking to only tabulate-related functions?,"[{""content"": ""global methods\n    if \""--onlyself\"" in sys.argv[1:]:\n        methods = [m for m in methods if m[0].startswith(\""tabulate\"")]"", ""start_index"": 1495, ""end_index"": 1616}]",tabulate
How is the parameter 'param' handled in the `__init_subclass__` method within the `Base` class when `slots=False` is used?,"[{""content"": ""\n    @attr.s(slots=False)\n    class Base:\n        def __init_subclass__(cls, param, **kw):\n            super().__init_subclass__(**kw)\n            cls.param = param\n\n    @attr.s\n    class Attrs(Base, param=\""foo\""):\n        pass\n\n    assert \""foo\"" == Attrs().param\n"", ""start_index"": 309989, ""end_index"": 310251}]",attrs
What exception is raised when you attempt to activate ordering for comparison in the TestNextGen class without enabling it in the attrs define decorator?,"[{""content"": ""@attrs.define(order=True)\n        class Ordered:\n            x: int\n\n        assert Ordered(1) < Ordered(2)"", ""start_index"": 283256, ""end_index"": 283363}]",attrs
What Python version is the Click documentation configured to link to via its intersphinx mapping?,"[{""content"": ""intersphinx_mapping = {\n    \""python\"": (\""https://docs.python.org/3/\"", None),\n}"", ""start_index"": 207422, ""end_index"": 207499}]",click
How is the verbosity level controlled in the click-based ComplexCLI?,"[{""content"": ""class Environment:\n    def __init__(self):\n        self.verbose = False\n        self.home = os.getcwd()\n\n    def log(self, msg, *args):\n        \""\""\""Logs a message to stderr.\""\""\""\n        if args:\n            msg %= args\n        click.echo(msg, file=sys.stderr)\n\n    def vlog(self, msg, *args):\n        \""\""\""Logs a message to stderr only if verbose is enabled.\""\""\""\n        if self.verbose:\n            self.log(msg, *args)"", ""start_index"": 209340, ""end_index"": 209755}, {""content"": ""class ComplexCLI(click.Group):\n    def list_commands(self, ctx):\n        rv = []\n        for filename in os.listdir(cmd_folder):\n            if filename.endswith(\"".py\"") and filename.startswith(\""cmd_\""):\n                rv.append(filename[4:-3])\n        rv.sort()\n        return rv\n\n    def get_command(self, ctx, name):\n        try:\n            mod = __import__(f\""complex.commands.cmd_{name}\"", None, None, [\""cli\""])\n        except ImportError:\n            return\n        return mod.cli"", ""start_index"": 209913, ""end_index"": 210396}, {""content"": ""@click.command(cls=ComplexCLI, context_settings=CONTEXT_SETTINGS)\n@click.option(\n    \""--home\"",\n    type=click.Path(exists=True, file_okay=False, resolve_path=True),\n    help=\""Changes the folder to operate on.\"",\n)\n@click.option(\""-v\"", \""--verbose\"", is_flag=True, help=\""Enables verbose mode.\"")\n@pass_environment\ndef cli(ctx, verbose, home):\n    \""\""\""A complex command line interface.\""\""\""\n    ctx.verbose = verbose\n    if home is not None:\n        ctx.home = home"", ""start_index"": 210399, ""end_index"": 210854}]",click
What happens to the date components when setting a specific month using the `pendulum.Date.set` method?,"[{""content"": ""def test_fluid_month_setter():\n    d = pendulum.Date(2016, 7, 2)\n    new = d.set(month=11)\n\n    assert new.month == 11\n    assert d.month == 7"", ""start_index"": 178246, ""end_index"": 178388}]",pendulum
What attributes are configured for the `MySchema.Meta` class in the test schema of marshmallow?,"[{""content"": ""class MySchema(Schema):\n    foo = String()\n    bar = Integer()\n\n    class Meta(Schema.Meta):\n        fields = (\""foo\"", \""bar\"")\n        additional = (\""baz\"", \""qux\"")\n        include = {\n            \""foo2\"": String(),\n        }\n        exclude = (\""bar\"", \""baz\"")\n        many = True\n        dateformat = \""%Y-%m-%d\""\n        datetimeformat = \""%Y-%m-%dT%H:%M:%S\""\n        timeformat = \""%H:%M:%S\""\n        render_module = json\n        ordered = False\n        index_errors = True\n        load_only = (\""foo\"", \""bar\"")\n        dump_only = (\""baz\"", \""qux\"")\n        unknown = EXCLUDE\n        register = False"", ""start_index"": 334123, ""end_index"": 334707}]",marshmallow
What settings are specified for the HTML theme in the Sphinx documentation configuration for the marshmallow project?,"[{""content"": ""html_theme = \""furo\"""", ""start_index"": 336105, ""end_index"": 336124}, {""content"": ""html_theme_options = {\n    \""light_logo\"": \""marshmallow-logo-with-title.png\"",\n    \""dark_logo\"": \""marshmallow-logo-with-title-for-dark-theme.png\"",\n    \""source_repository\"": \""https://github.com/marshmallow-code/marshmallow\"",\n    \""source_branch\"": \""dev\"",\n    \""source_directory\"": \""docs/\"",\n    \""sidebar_hide_name\"": True,\n    \""light_css_variables\"": {\n        # Serif system font stack: https://systemfontstack.com/\n        \""font-stack\"": \""Iowan Old Style, Apple Garamond, Baskerville, Times New Roman, Droid Serif, Times, Source Serif Pro, serif, Apple Color Emoji, Segoe UI Emoji, Segoe UI Symbol;\"",\n    },\n    \""top_of_page_buttons\"": [\""view\""],\n}"", ""start_index"": 336125, ""end_index"": 336759}]",marshmallow
How does the function `test_plain_maxcolwidth_autowraps_with_sep` handle cell autowrapping with inclusion of separator lines in the plain output format?,"[{""content"": ""def test_plain_maxcolwidth_autowraps_with_sep():\n    \""Output: maxcolwidth will result in autowrapping longer cells and separating line\""\n    table = [\n        [\""hdr\"", \""fold\""],\n        [\""1\"", \""very long data\""],\n        SEPARATING"", ""start_index"": 33269, ""end_index"": 33495}, {""content"": ""SEPARATING_LINE,"", ""start_index"": 38409, ""end_index"": 38425}]",tabulate
What is the type of the values in the 'tabulate_formats' list as checked in the `test_tabulate_formats` function?,"[{""content"": ""from tabulate import tabulate, tabulate_formats, simple_separated_format"", ""start_index"": 135527, ""end_index"": 135599}, {""content"": ""def test_tabulate_formats():\n    \""API: tabulate_formats is a list of strings\"" \""\""\n    supported = tabulate_formats\n    print(\""tabulate_formats = %r\"" % supported)\n    assert type(supported) is list\n    for fmt in supported:\n        assert type(fmt) is str  # noqa"", ""start_index"": 135734, ""end_index"": 135995}]",tabulate
How is compatibility with cloudpickle tested in the TestCloudpickleCompat class?,"[{""content"": ""cloudpickle = pytest.importorskip(\""cloudpickle\"")"", ""start_index"": 66807, ""end_index"": 66855}, {""content"": ""class TestCloudpickleCompat:\n    \""\""\""\n    Tests for compatibility with ``cloudpickle``.\n    \""\""\""\n\n    @given(simple_classes(cached_property=False))\n    def test_repr(self, cls):\n        \""\""\""\n        attrs instances can be pickled and un-pickled with cloudpickle.\n        \""\""\""\n        inst = cls()\n        # Exact values aren't a concern so long as neither direction\n        # raises an exception.\n        pkl = cloudpickle.dumps(inst)\n        cloudpickle.loads(pkl)"", ""start_index"": 66858, ""end_index"": 67319}]",attrs
How does Click handle subcommands in a group command where the subcommand starts with a specified incomplete string?,"[{""content"": ""def _complete_visible_commands(\n    ctx: Context, incomplete: str\n) -> cabc.Iterator[tuple[str, Command]]:\n    \""\""\""List all the subcommands of a group that start with the\n    incomplete value and aren't hidden.\n\n    :param ctx: Invocation context for the group.\n    :param incomplete: Value being completed. May be empty.\n    \""\""\""\n    multi = t.cast(Group, ctx.command)\n\n    for name in multi.list_commands(ctx):\n        if name.startswith(incomplete):\n            command = multi.get_command(ctx, name)\n\n            if command is not None and not command.hidden:\n                yield name, command"", ""start_index"": 255827, ""end_index"": 256424}]",click
"What happens when you try to access the deprecated ""BaseCommand"", ""MultiCommand"", or ""OptionParser"" attributes in Click?","[{""content"": ""def __getattr__(name: str) -> object:\n    import warnings\n\n    if name == \""BaseCommand\"":\n        from .core import _BaseCommand\n\n        warnings.warn(\n            \""'BaseCommand' is deprecated and will be removed in Click 9.0. Use\""\n            \"" 'Command' instead.\"",\n            DeprecationWarning,\n            stacklevel=2,\n        )\n        return _BaseCommand\n\n    if name == \""MultiCommand\"":\n        from .core import _MultiCommand\n\n        warnings.warn(\n            \""'MultiCommand' is deprecated and will be removed in Click 9.0. Use\""\n            \"" 'Group' instead.\"",\n            DeprecationWarning,\n            stacklevel=2,\n        )\n        return _MultiCommand\n\n    if name == \""OptionParser\"":\n        from .parser import _OptionParser\n\n        warnings.warn(\n            \""'OptionParser' is deprecated and will be removed in Click 9.0. The\""\n            \"" old parser is available in 'optparse'.\"",\n            DeprecationWarning,\n            stacklevel=2,\n        )\n        return _OptionParser"", ""start_index"": 252933, ""end_index"": 253933}]",click
How does the `test_closest_with_equals` function determine which time instance is closest when two times are compared?,"[{""content"": ""def test_closest_with_equals():\n    instance = pendulum.time(12, 34, 56)\n    t1 = pendulum.time(12, 34, 56)\n    t2 = pendulum.time(12, 34, 59)\n    closest = instance.closest(t1, t2)\n    assert t1 == closest"", ""start_index"": 183767, ""end_index"": 183973}]",pendulum
How does Pendulum determine if two intervals with the same duration but different start and end dates are equal or distinct?,"[{""content"": ""def test_intervals_with_same_duration_and_different_dates():\n    day1 = pendulum.DateTime(2018, 1, 1)\n    day2 = pendulum.DateTime(2018, 1, 2)\n    day3 = pendulum.DateTime(2018, 1, 2)\n\n    interval1 = day2 - day1\n    interval2 = day3 - day2\n\n    assert interval1 != interval2\n    assert len({interval1, interval2}) == 2"", ""start_index"": 132929, ""end_index"": 133248}]",pendulum
What does the `on_bind_field` method in the `CamelCaseSchema` class do to the fields?,"[{""content"": ""class CamelCaseSchema(Schema):\n    \""\""\""Schema that uses camel-case for its external representation\n    and snake-case for its internal representation.\n    \""\""\""\n\n    def on_bind_field(self, field_name, field_obj):\n        field_obj.data_key = camelcase(field_obj.data_key or field_name)"", ""start_index"": 337896, ""end_index"": 338179}]",marshmallow
How does the `OrderedSet` method `pop` determine which element to remove based on the `last` parameter?,"[{""content"": ""def pop(self, last=True):\n        if not self:\n            raise KeyError(\""set is empty\"")\n        key = self.end[1][0] if last else self.end[2][0]\n        self.discard(key)\n        return key"", ""start_index"": 425180, ""end_index"": 425371}]",marshmallow
What exception is thrown by the `frozen` function in the `setters.py` module if an attempt is made to modify an attribute?,"[{""content"": ""def frozen(_, __, ___):\n    \""\""\""\n    Prevent an attribute to be modified.\n\n    .. versionadded:: 20.1.0\n    \""\""\""\n    raise FrozenAttributeError"", ""start_index"": 327975, ""end_index"": 328116}]",attrs
What is returned by the `pipe` function defined in the setters module of the attrs library?,"[{""content"": ""\""\""\""\nCommonly used hooks for on_setattr.\n\""\""\""\n\nfrom . import _config\nfrom .exceptions import FrozenAttributeError\n\n\ndef pipe(*setters):\n    \""\""\""\n    Run all *setters* and return the return value of the last one.\n\n    .. versionadded:: 20.1.0\n    \""\""\""\n\n    def wrapped_pipe(instance, attrib, new_value):\n        rv = new_value\n\n        for setter in setters:\n            rv = setter(instance, attrib, rv)\n\n        return rv\n\n    return wrapped_pipe"", ""start_index"": 327529, ""end_index"": 327972}]",attrs
What does setting the attribute `auto_exc` to true entail in the `define` function?,"[{""content"": ""auto_exc (bool):\n            If the class subclasses `BaseException` (which implicitly includes\n            any subclass of any exception), the following happens to behave\n            like a well-behaved Python exception class:\n\n            - the values for *eq*, *order*, and *hash* are ignored and the\n              instances compare and hash by the instance's ids [#]_ ,\n            - all attributes that are either passed into ``__init__`` or have a\n              default value are additionally available as a tuple in the\n              ``args`` attribute,\n            - the value of *str* is ignored leaving ``__str__`` to base\n              classes.\n\n            .. [#]\n               Note that *attrs* will *not* remove existing implementations of\n               ``__hash__`` or the equality methods. It just won't add own\n               ones"", ""start_index"": 454607, ""end_index"": 455456}]",attrs
